Topic,Count,Name,word_strength
-1,58310,-1_say_covid_ukraine_china,"[('say', 0.006664784405644968), ('covid', 0.006658870559676663), ('ukraine', 0.006597427394130103), ('china', 0.006252632473561999), ('russia', 0.006139423680750813), ('coronavirus', 0.006042806811339442), ('russian', 0.0054871228643331065), ('new', 0.0048919297033221286), ('trump', 0.00423080211595305), ('world', 0.003952270247883053)]"
0,64932,0_china_coronavirus_say_covid,"[('china', 0.008668904388153988), ('coronavirus', 0.008047463034091432), ('say', 0.007929819643904937), ('covid', 0.006576817662113036), ('iran', 0.005721105595259033), ('israel', 0.00548732095285205), ('russia', 0.005472315284750056), ('new', 0.005141028788086049), ('ukraine', 0.005011643689086939), ('trump', 0.004610426505038256)]"
1,1140,1_mask_face mask_wear_face,"[('mask', 0.1258858160698568), ('face mask', 0.04573187537783189), ('wear', 0.045468873939116305), ('face', 0.03848230348956389), ('wear mask', 0.0334145439756688), ('coronavirus', 0.012716277079377468), ('wear face', 0.01214800666552814), ('wear face mask', 0.011665129039831582), ('public', 0.00996642745844594), ('covid', 0.008830815256327347)]"
2,1082,2_space_earth_nasa_moon,"[('space', 0.058229225499376314), ('earth', 0.03388060342632617), ('nasa', 0.028047603602742263), ('moon', 0.02690213453811982), ('space station', 0.02523557856160365), ('asteroid', 0.02425323528654739), ('station', 0.022107480316083027), ('spacex', 0.02142150138461926), ('rocket', 0.016769424211301537), ('launch', 0.015619939514922642)]"
3,828,3_climate_climate change_change_emissions,"[('climate', 0.09209322590849058), ('climate change', 0.04175690804176804), ('change', 0.038368771567115455), ('emissions', 0.025225344017972225), ('global', 0.01680406954236171), ('world', 0.016068723281878625), ('warm', 0.015749300672325908), ('carbon', 0.015661718775808253), ('climate crisis', 0.015044270572332723), ('heat', 0.013845064729606586)]"
4,699,4_pope_vatican_francis_pope francis,"[('pope', 0.09648592705757424), ('vatican', 0.054994667618313585), ('francis', 0.04945689087781056), ('pope francis', 0.04791718151131774), ('church', 0.037475330403945115), ('catholic', 0.03562122902817133), ('abuse', 0.03352796495143147), ('sex', 0.02559783169095991), ('catholic church', 0.02196529042665655), ('priest', 0.017894907111211736)]"
5,662,5_navalny_alexei_alexei navalny_poison,"[('navalny', 0.14834027191525123), ('alexei', 0.06328049513372158), ('alexei navalny', 0.06310787812921756), ('poison', 0.0593529487205697), ('critic', 0.05038154660313578), ('kremlin', 0.04116624445445371), ('kremlin critic', 0.03860866536400528), ('russia', 0.027215105130958154), ('critic navalny', 0.026745376785880747), ('opposition', 0.02558807896359918)]"
6,605,6_zelensky_zelenskyy_ukraine_volodymyr,"[('zelensky', 0.11617039292574431), ('zelenskyy', 0.07490016017369858), ('ukraine', 0.04439987911740319), ('volodymyr', 0.03266440046864723), ('president', 0.025232533687535884), ('zelenskiy', 0.022927191318837494), ('zelensky say', 0.022108675902500603), ('russia', 0.020530827161106793), ('russian', 0.020026870811422716), ('ukrainian', 0.018214880423294277)]"
7,540,7_amazon_deforestation_rainforest_tree,"[('amazon', 0.07196001566643834), ('deforestation', 0.056485824064396395), ('rainforest', 0.04101765342349911), ('tree', 0.03464222541339315), ('brazil', 0.03288331282552421), ('forest', 0.031698165497273556), ('amazon rainforest', 0.02860590385422364), ('brazilian', 0.01898458628905358), ('amazon deforestation', 0.01831009078142144), ('indigenous', 0.01786804587693482)]"
8,445,8_australia_bushfires_wildfires_bushfire,"[('australia', 0.0513000772532386), ('bushfires', 0.05072885172897273), ('wildfires', 0.03870351488631475), ('bushfire', 0.033782628579452176), ('fire', 0.03277894620612926), ('australian', 0.02707306355271767), ('wildfire', 0.020304897024032164), ('smoke', 0.01791939989916706), ('firefighters', 0.01756359910350459), ('burn', 0.016837426038153254)]"
9,389,9_huawei_meng_wanzhou_meng wanzhou,"[('huawei', 0.1911951078691502), ('meng', 0.037945836327284384), ('wanzhou', 0.031701562170256346), ('meng wanzhou', 0.031701562170256346), ('network', 0.030881180197370333), ('extradition', 0.02268060543492231), ('huawei executive', 0.02184652267315175), ('china', 0.0203610405803725), ('china huawei', 0.01859209077654494), ('cfo', 0.01840835407527503)]"
