topic_nr,0,1,2,3,4,5,6,7,8
1,god muslims pakistan flout coronavirus ban mosques,modi want people religious freedom say president donald trump caa row india news,report claim pakistani doctor affect covid healthcare workers accord situation report publish pakistani doctor emerge affect novel coronavirus health peer include paramedics nurse,german finance minister commit suicide virus crisis worry,school shut friday exams postpone,ireland set close school universities coronavirus,,,
0,china tell confident slay devil virus,chinese man bust paddle wooden tub yangtze river escape virus lockdown,hong kong hold major protest month hong kong protestors hold anti government demonstration mall sunday city largest protest early march,,,,,,
14,kim jong illness rumour deny south korea,taiwan intelligence chief say north korea kim jong sick,south korea say north korea kim seriously ill yonhap,,,,,,
26,youtube ceo ban coronavirus content guidelines,implement article copyright law,plandemic free youtube censorship,,,,,,
2,lead military coalition say withdraw iraq country parliament vote anti isis troop leave wake qassem soleimani death,trump address nation amid showdown iran,iran send multiple message attack,turkish syrian soldier kill battle control idlib escalate russian turkish relations strain,turkey repeat work group offer solve row russian defense purchase,provide air support turkey syria pentagon,,,
15,shock fear sadness grip australia bushfire refugees thousands australians force home rampage bushfires stick makeshift camp fearful future turn refugees country,rain forecasters warn significant rainfall months experts warn worst bushfire season,vegetable price soar cent growers face perfect storm bushfires drought australia,,,,,,
18,baseball world right taiwan need english broadcasters,lawmakers urge admit taiwan focus taiwan,ambassador launch petition back taiwan bid focus taiwan,,,,,,
8,china declare dog companion eat signal possible end brutal meat trade,owner chinese dog meat restaurant reveal breeders raise thousands puppies fee diners,traveler hide dead bird china luggage say cat food feds,,,,,,
11,feed say offer trillion worth short term loan bank today tomorrow,economy head worst crash years,south africa recession shock economic slump,,,,,,
33,hundreds migrants march greece turkey open gate,pledge million aid greek response migrant influx turkey,turkish smugglers charge migrants help sneak greece,,,,,,
5,coronavirus czechs face covid crisis make mask mandatory,inventor mask come retirement work make reusable,austria drop coronavirus case require people wear face mask,,,,,,
42,deny extradition request harry dunn suspect,lawyer harry dunn allege killer begin talk foreign office sky news,rebuff britain request extradition diplomat wife,,,,,,
4,trump say coronavirus crisis july august,coronavirus obama say response chaotic disaster,trump accuse exploit coronavirus pandemic advance truly disgraceful union bust effort,,,,,,
7,palestinians declare day rage follow trump farcical deal,israel approve construction new settler home occupy palestinian territories watchdog peace say eighty percent new home erect settlements israel evacuate future peace agreement palestinians,israeli force kill palestinians west bank tensions spike,,,,,,
16,tokyo olympics difficult hold coronavirus vaccine japan medical association president yoshitake yokokura say video media conference tuesday olympics possible infections control japan globally,coronavirus infect man japan go pub test positive want spread virus die hospital,olympic flame carry car instead torchbearers,,,,,,
25,climate change denialism suffer researcher simply humans bad selfish people lot external factor control information consume encourage denialism way economy set,german lng terminal plan fuel anger germany advance plan liquefy natural gas lng terminals critics slam propose infrastructure ground climate pollution fracking hypocrisy,waste decade time leave climate action shrink thirds years base synthesis editions emissions gap report nations time work work time comply climate pact paris,,,,,,
36,alberta oilfield firm apologize graphic greta thunberg sticker,police warn inadequate safety greta thunberg protest,act love children greta thunberg demand davos elite immediately halt fossil fuel investments,,,,,,
20,cdc director break trump claim border wall help stop coronavirus,mexican protesters hold stay home sign border fear coronavirus outbreak,pressure mexico president inject billion economy,,,,,,
12,iran plane crash likely shootdown event aviation experts,iran plane crash board kiev bind ukrainian airlines boeing victims include iranians canadians ukrainians swedes afghans germans british nationals,iran ukrainian jetliner return airport crash,,,,,,
31,satellite reveal clearest picture ice melt antarctica polar ice sheet lose billions tonnes ice year,antarctica log hottest temperature record,heat wave antarctica melt island snow days,,,,,,
39,bernie sanders suspend white house campaign make joe biden main democrat candidate,bernie sanders pledge legal marijuana state day president,bloomberg defensive democratic presidential debate nevada,,,,,,
13,brazil coronavirus death toll top bolsonaro greet supporters street social distance dissolve,bolsonaro continue dismiss covid threat case skyrocket brazil,jair bolsonaro president brazil come public support hundreds people defend military rule protest stay home order issue state governors slow spread new coronavirus,,,,,,
10,coronavirus update johnson treat finest doctor,brexit soon cost payments years,brexiteer complain wait queue airport isn brexit vote,,,,,,
3,president putin national address declare public holiday russia week,putin pave way presidential term,russian opposition want big protest putin plan rule,mulvaney say deep state real govt officials obey trump,ask say frighten americans trump respond terrible reporter,wound media scrutiny trump turn brief presidential tantrum,coronavirus case world surpass million lead number deaths,australian coronavirus test hit world lead level population deaths remain low,coronavirus death toll kill disease virus take hold world
37,air stewardess fire pound overweight years malaysia airlines lose claim unfair dismissal,plane record fastest atlantic flight airlines battle speed record amid storm ciara wind,norwegian suspend flight lay half staff,,,,,,
19,grow dangers far right extremist group torrents threats politicians germany set toughen online speech laws tighten screw social network chancellor angela merkel government expect wave new package measure wednesday,annegret kramp karrenbauer leader cdu germany announce withdrawel party leader,germany issue arrest warrant suspect russian military intelligence officer allege hack servers german parliament suspect dmitry badin want unite state charge try interfere country presidential election,,,,,,
