Topic,Words,Frequency,Timestamp,Name
-1,"morrison, australia, scott morrison, scott, australian",228,2019-12-31 20:49:45.014000128,-1_coronavirus_covid_say_test
0,"china, hong, hong kong, kong, chinese",53,2019-12-31 20:49:45.014000128,0_china_coronavirus_chinese_wuhan
1,"pakistan, india, muslims, citizenship, police",38,2019-12-31 20:49:45.014000128,1_pakistan_india_school_coronavirus
2,"iran, soleimani, kill, iraq, iranian",385,2019-12-31 20:49:45.014000128,2_iran_iraq_soleimani_iranian
3,"ukraine aid, ukraine, aid, withhold, email",11,2019-12-31 20:49:45.014000128,3_putin_death_toll_death toll
4,"radiologists, trump, better spot breast, feature falsely, breast cancer mammograms",4,2019-12-31 20:49:45.014000128,4_trump_coronavirus_fund_white house
5,"chip device use, particle accelerator fit, accelerator, accelerate electrons, chip device",2,2019-12-31 20:49:45.014000128,5_mask_face mask_face_ventilators
6,"therapy, decrease bleed events, bleed events, decrease bleed, new gene therapy",1,2019-12-31 20:49:45.014000128,6_coronavirus_case_coronavirus case_pand...
7,"netanyahu, israel, prosecution, immunity, netanyahu say",15,2019-12-31 20:49:45.014000128,7_israel_palestinian_netanyahu_israeli
8,"zoo, animals, kill animals, monkey, monkey sanctuary",14,2019-12-31 20:49:45.014000128,8_dog_animals_meat_cat
9,"italy kill, car plough, car plough crowd, plough crowd, crowd tourists",1,2019-12-31 20:49:45.014000128,9_italy_italian_coronavirus_deaths
10,"johnson, boris, boris johnson, brexit tory, avoid deal",4,2019-12-31 20:49:45.014000128,10_johnson_boris_boris johnson_brexit
11,"ratios, free billion spur, billion spur economy, reserve ratios, billion spur",4,2019-12-31 20:49:45.014000128,11_stock_economy_recession_market
12,"dow, crash, point iran, iran, plane",5,2019-12-31 20:49:45.014000128,12_plane_crash_iran_ukrainian
13,"protest brazil new, activists block toronto, intersection, intersection protest, intersection protest brazil",2,2019-12-31 20:49:45.014000128,13_brazil_bolsonaro_brazilian_president
14,"kim, north, jong, kim jong, korean",12,2019-12-31 20:49:45.014000128,14_kim_jong_kim jong_north
15,"australia, bushfires, australian, bushfire, fire",99,2019-12-31 20:49:45.014000128,15_australia_bushfires_australian_fire
16,"japanese, japan, boost space tie, able continue work, japan talk",3,2019-12-31 20:49:45.014000128,16_japan_tokyo_olympics_japanese
17,"middle east travel, east travel, update middle east, update middle, year cbc news",2,2019-12-31 20:49:45.014000128,17_canada_trudeau_canadian_covid
18,"taiwan, leader reject china, offer unify, leader reject, china offer unify",8,2019-12-31 20:49:45.014000128,18_taiwan_china_tsai_support taiwan
19,"polish, germany, labunie poland december, dawid karpiuk, dance recital feature",5,2019-12-31 20:49:45.014000128,19_germany_german_far right_right
20,"mexico, say chapo power, say chapo, chapo power, president say chapo",6,2019-12-31 20:49:45.014000128,20_mexico_mexican_border_drug
21,"kenya, kenya military, military, shabaab, military base",6,2019-12-31 20:49:45.014000128,21_taliban_afghanistan_kill_afghan
23,"prescribe heartburn medication, potentially package, zantac, zantac produce, zantac produce cancer",1,2019-12-31 20:49:45.014000128,23_iran_coronavirus_sanction_iran corona...
25,"climate, climate change, change, carbon, austria",13,2019-12-31 20:49:45.014000128,25_climate_carbon_emissions_climate chan...
26,"website health, google record, record voice search, snapchat stop work, voice search",3,2019-12-31 20:49:45.014000128,26_facebook_youtube_google_zoom
27,"operations foreign, venezuela state oil, cede, cede oilfield, oilfield operations",1,2019-12-31 20:49:45.014000128,27_venezuela_maduro_venezuelan_coup
30,"oil, google amazon oil, year oil firm, royal dutch, firm investment guidance",2,2019-12-31 20:49:45.014000128,30_oil_price_oil price_saudi
31,"december, petersburg see, moscow bring, festivities counter unseasonably, moscow bring fake",2,2019-12-31 20:49:45.014000128,31_ice_antarctica_melt_warm
33,"turkey, airport, million jackpot, jackpot new year, turkey shock",2,2019-12-31 20:49:45.014000128,33_greece_greek_migrants_turkey
34,"crater, impact, ago crater discover, lava, huge asteroid",1,2019-12-31 20:49:45.014000128,34_earth_nasa_asteroid_star
35,"face remove, airstrike impeachment inquiry, inquiry heat, iraq airstrike impeachment, launch iraq",2,2019-12-31 20:49:45.014000128,35_impeachment_trump_trial_witness
36,"greta, thunberg, greta thunberg, game error, greta thunberg change",6,2019-12-31 20:49:45.014000128,36_greta_thunberg_greta thunberg_climate
37,"climate workers, speak climate workers, employees speak climate, amazon threaten employees, threaten employees speak",1,2019-12-31 20:49:45.014000128,37_amazon_airlines_flight_airline
38,"rattle city, kong shake awake, evidence reveal, awake, awake magnitude",2,2019-12-31 20:49:45.014000128,38_earthquake_magnitude_magnitude earthq...
39,"castro drop, castro, democrat julin castro, democrat julin, castro drop presidential",1,2019-12-31 20:49:45.014000128,39_sanders_bernie_bernie sanders_sanders...
42,"official accuse torture, assange, official accuse, accuse torture, torture",3,2019-12-31 20:49:45.014000128,42_assange_julian assange_julian_extradi...
-1,"australia, bounty, camels, iran, million bounty",299,2020-01-05 09:46:14.200000000,-1_coronavirus_covid_say_test
0,"china, kong, hong, hong kong, pneumonia",29,2020-01-05 09:46:14.200000000,0_china_coronavirus_chinese_wuhan
1,"rape, rapist, prolific rapist, jail life, prolific",34,2020-01-05 09:46:14.200000000,1_pakistan_india_school_coronavirus
2,"iran, iraq, soleimani, iranian, trump",654,2020-01-05 09:46:14.200000000,2_iran_iraq_soleimani_iranian
3,"agencies sign, ukraine airliner shoot, sign ukraine airliner, intelligence agencies sign, western intelligence agencies",27,2020-01-05 09:46:14.200000000,3_putin_death_toll_death toll
4,"security officials leave, officials leave, officials leave white, national security officials, leave white",1,2020-01-05 09:46:14.200000000,4_trump_coronavirus_fund_white house
