topic_nr,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
93,india farmers intensify protests as deadlock over new farming laws continues,indian farmers protest people have a right to protest peacefully says un spokesperson,modi responds to farmer protests. says msp is here to stay mn will continue to receive food subsidies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,wuhan coronavirus infections could be times higher researcher says,china accuses us of politicizing covid origins research,prince andrew offers message of support to the chinese government over coronavirus,china guangdong reports human infection of bird flu,first cases of bird flu strain detected in humans seven poultry workers in southern russia infected reveals health watchdog,china reports bird flu outbreak in hunan province.,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,kim vows to improve ties with outside world at party meeting,kim jong un appearance dramatically changed in five weeks.,two koreas reopen hotlines as north urges south to mend ties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ireland data regulator has launched an official inquiry into facebook after details on million users were leaked on a hacking website. the regulator said the probe will determine whether the euwide gdpr charter on data rights had been  or is being  infringed by facebook,facebook employees resign over zuckerberg treatment of trump post,ftc sues to break up facebook for illegal monopolization,russia cracks down on dissenting media blocks facebook,facebook blocks ghostwriter hackers targeting ukraines army,twitter launches service aimed at bypassing russia block,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,disney head of streaming to become ceo of tiktok,u.s. senate panel approves ban on using tiktok app on government devices,why america is afraid of tiktok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,u.s. weighs possible retaliation for rocket attack in western iraq,two us soldiers injured in iraq rocket attack,multiple rockets hit iraq taji base hosting american troops, the iraq war just end in letter usled coalition announces it will leave iraq,iraqi major political bloc calls for full withdrawal of us forces,us to withdrawtroops from iraq by end of september,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,fight fire with fire controlled burning could have protected australia.,a wildfire the size of manhattan is tearing through australia,australian bushfire crisis authorities plead for lastditch evacuation with terrible conditions ahead. firefighters warn they may have to abandon homes and even whole towns as bushfire crisis threatens to overwhelm resources in new south wales victoria and south australia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,cardi b tweets that shes seeking nigerian citizenship after u.s. airstrike in iraq,jihadists kill eight in nigeria ambush,niger at least killed in gun attack by suspected islamist insurgents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,hong kong protesters say they were tortured in prison,beijing to have sweeping powers over hong kong security law stoking concerns,li kashing defends hong kong security law as chinas right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,trump may launch reckless attack on iran experts fear,iran ayatollah khamenei ridicules donald trump threatsyou can do a damn thing this has nothing to do with iran. secondly be logical... the people of this region hate america. why don americans understand this,donald trump warns iran not to fck around with america,coronavirus iranians lose trust in government as virus spreads,iran imposes weeklong lockdown of tehran as virus surges,iran coronavirus death toll reachesraising fears of new stage in global spread,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,taiwan blames china for latest who meeting snub tensions rise as taiwan is excluded from taking part in the annual world health organization gathering.,could china invade taiwan under xi jinping rule and would they win,asml does not believe in chinese invasion of taiwan,taiwan grounds mirage fighters after jet crashes into sea,taiwan scrambles jets as chinese aircraft enter air defence zone,taiwan says chinese fighters u.s. aircraft both entered defence zone,once a covid success story taiwan now seeing hundreds of cases per day,businessman with counterfeit negative covid test flies back to taiwan from thailand has now tested positive,covid cases near zero in taiwan but restrictions remain,,,,,,,,,,,,,,,,,,,,,,,,
21,world will face more intense and cascading global challenges over next two decades u.s. intelligence report warns,world leaders will hold closeddoor climate meet at un,the worst is yet to come iccp draft report to be published in rings the alarm on the consequences of climate change..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,don close ports to migrants pope says after salvini case,polish archbishop calls for child sex abuse probe,estimatedvictims of child sex abuse in french catholic church sincecommission finds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,los zetas the most brutal cartel at one point,after a gang of cartel members killed her daughter year old miriam rodriguez spent the next years successfully hunting down the cartel members involved.,mexico asks u.s. for answers over historic gunrunning row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78, elephants drop dead in botswana some walking in circles before doing faceplants,a cruel training method for baby elephants known as the crush has been revealed in rarelyseen footage. the practice sees calves bound with chains and confined in narrow enclosures for days at a time to make them submissive enough to interact with tourists.,sri lanka bans driving on elephants and putting baby elephants to work. elephants can not be worked for more than four hours a day and must also receive no less than twoandahalf hours of bathing time per day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,investors in xis china face a rude awakening the leaders crackdown on private enterprise shows he does not understand the market economy,senior bbc correspondent flees china after threats over xinjiang covid reporting,china urges united states to fulfill its obligations to who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, u.s. does not know who they are dealing with erdogan,italian pm calls turkeys erdogan a dictator,greek demonstrators hurl firebombs towards u.s. embassy in athens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,chinese embassy slams uighur genocide talks in lithuania as ,us cites china myanmar ethiopia in genocide reportworld newsus news,cornell students from china jeer walk out on uyghur student who asked lawmaker about uyghur genocide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,pakistani leader to the u.s. were not your hired gun anymore,with no options left pakistan moves missiles to indian border,pakistan opposition seeks end to imran khan puppet rule,another minor hindu girl kidnapped and converted in sindh pakistan reshma becomes basheeran as muslim clerics marry her off to the kidnapper,minor hindu girl kidnapped and converted in sindh pakistan reshma becomes basheeran as muslim clerics marry her off to the kidnapper,christian girlis being threatened by islamist death squads in pakistan for fleeing forced marriage to muslim manas thousands sign petition to give her asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,uk supermarket chain morrisons considers removing plastic bags in favour of paper alternatives,soft plastic bottles leach hundreds of chemicals into drinking water,mexico city introduced ban on singleuse plastics following yearlong preparation. lawmakers passed ban on plastic bags utensils and other disposable plastic items inaiming to reduce nonbiodegradable plastics and hoping to turn mexico capital into more sustainable city.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ukraine seeks world heritage status for chernobyl zone,chernobyl power plant captured by russian forcesukrainian official,officials say ukraine no longer in control of chernobyl site,after disaster fukushima embraced solar power. the rest of japan has not,japan is digging an undersea tunnel to dump fukushimas radioactive water,fukushima water release could change human dna greenpeace warns,,,,,,,,,,,,,,,,,,,,,,,,,,,
