Topic,Count,Name,word_strength
-1,59951,-1_to_in_of_the,"[('to', 0.0072045526205617196), ('in', 0.006743999588021773), ('of', 0.0063824555995823035), ('the', 0.006125102588252739), ('for', 0.005362597944759614), ('and', 0.005029494170180739), ('on', 0.004361944732862536), ('us', 0.0038939659019267664), ('after', 0.0037648597608377016), ('as', 0.0037235400459860986)]"
0,4461,0_china_coronavirus_wuhan_virus,"[('china', 0.024612813909128672), ('coronavirus', 0.020850110362443244), ('wuhan', 0.020714722237434424), ('virus', 0.012402019062898166), ('chinese', 0.01110675154361945), ('outbreak', 0.01061870979910997), ('lab', 0.009872858910876131), ('covid', 0.009407099622966202), ('cases', 0.007695516816077171), ('the', 0.0075140780442823005)]"
1,3356,1_israel_israeli_gaza_palestinian,"[('israel', 0.03145674027766075), ('israeli', 0.025444246797656292), ('gaza', 0.02534460627282587), ('palestinian', 0.023625045208462838), ('palestinians', 0.015605710043361988), ('hamas', 0.01521492466546695), ('jerusalem', 0.011436877669258811), ('west bank', 0.010986439898668538), ('in gaza', 0.009590599129303755), ('bank', 0.009152104751821008)]"
2,2750,2_ukraine_russia_putin_russian,"[('ukraine', 0.03308394915474808), ('russia', 0.0196508324449488), ('putin', 0.017988323084516054), ('russian', 0.017627692385589117), ('invasion', 0.015556451754282117), ('of ukraine', 0.011333650707822057), ('invasion of ukraine', 0.011039977893549036), ('invasion of', 0.010906581920756895), ('russian invasion', 0.009985062206547156), ('kyiv', 0.009271725831019055)]"
3,2449,3_vaccine_covid_covid vaccine_vaccines,"[('vaccine', 0.04508024251782555), ('covid', 0.021979078491316553), ('covid vaccine', 0.021862865536271425), ('vaccines', 0.014162059760302128), ('pfizer', 0.014084362244045544), ('astrazeneca', 0.011949579045939279), ('doses', 0.00958075219488957), ('coronavirus vaccine', 0.009313353583752373), ('vaccinated', 0.008304928501605012), ('to', 0.00814331867617336)]"
4,2055,4_police_black_shooting_in,"[('police', 0.02441430838883407), ('black', 0.01298212932619066), ('shooting', 0.010165828085265314), ('in', 0.00960989979083016), ('man', 0.009348197195247833), ('lives matter', 0.00913963825866247), ('matter', 0.00873980772268472), ('black lives', 0.008453796089485372), ('statue', 0.008448083972601519), ('lives', 0.008403694962461763)]"
5,1866,5_johnson_boris_boris johnson_brexit,"[('johnson', 0.03707622201133247), ('boris', 0.03363079835010428), ('boris johnson', 0.03208253411131184), ('brexit', 0.03044526297244542), ('uk', 0.022105614969992377), ('eu', 0.015273783199945424), ('trade', 0.010756127118025299), ('deal', 0.008744800281450207), ('to', 0.008737949206082948), ('britain', 0.006964553242674737)]"
6,1854,6_covid_variant_omicron_uk,"[('covid', 0.027093886996281565), ('variant', 0.021674361762264602), ('omicron', 0.016458095536292648), ('uk', 0.013134073853021264), ('delta', 0.012568414715816321), ('cases', 0.012413676336716011), ('sweden', 0.011368562885689689), ('coronavirus', 0.009834411371641408), ('deaths', 0.009590473135242476), ('delta variant', 0.00807389440456728)]"
7,1844,7_space_nasa_earth_moon,"[('space', 0.029624236843827947), ('nasa', 0.014817274198335043), ('earth', 0.014115950227455909), ('moon', 0.01293615161840762), ('spacex', 0.012735110847932106), ('mars', 0.012494999850987233), ('musk', 0.010291589778153285), ('space station', 0.010260052894637545), ('elon', 0.009731531183686259), ('the', 0.009349853324972873)]"
8,1842,8_taliban_afghanistan_afghan_kabul,"[('taliban', 0.05028871755304454), ('afghanistan', 0.03994862499856352), ('afghan', 0.023000188101109084), ('kabul', 0.02013846616466876), ('in afghanistan', 0.013541434072648361), ('us', 0.013416505047205153), ('the taliban', 0.012272348760670041), ('afghans', 0.009118194720526919), ('withdrawal', 0.008617062518232398), ('biden', 0.008338727713679814)]"
9,1820,9_china_chinese_us_xi,"[('china', 0.03074604634081961), ('chinese', 0.014135318695445494), ('us', 0.012994597145414729), ('xi', 0.012644335641334896), ('chinas', 0.0085949240327985), ('to', 0.00831562247707374), ('jinping', 0.007558965213872338), ('xi jinping', 0.007430854890866933), ('the', 0.006699770428400389), ('trade', 0.006302426882591759)]"
10,1775,10_hong_kong_hong kong_security,"[('hong', 0.07191215698034512), ('kong', 0.07026121459923822), ('hong kong', 0.06875587211764886), ('security', 0.016832675258162406), ('security law', 0.016442126666594867), ('law', 0.01518812783637251), ('national security', 0.012287552965356042), ('national', 0.011577790474681316), ('in hong', 0.01080017565811083), ('china', 0.010589666836512473)]"
11,1692,11_korea_north_north korea_kim,"[('korea', 0.055366029180809954), ('north', 0.05024071529303285), ('north korea', 0.04080700390523029), ('kim', 0.03943762643497395), ('korean', 0.026710477896430836), ('jong', 0.022623529000348763), ('south', 0.022129211913678778), ('kim jong', 0.021344410549437802), ('jong un', 0.019925614318100002), ('kim jong un', 0.0196622190407617)]"
12,1464,12_taiwan_china_chinese_us,"[('taiwan', 0.08351763829024765), ('china', 0.021606090054375266), ('chinese', 0.011699967529155916), ('us', 0.009094641818064539), ('taiwanese', 0.008736692870481863), ('to', 0.007644383073287392), ('says', 0.007440217906299592), ('who', 0.007225087329282057), ('taiwan says', 0.007215576385183329), ('of taiwan', 0.007207628142218389)]"
13,1419,13_sanctions_russia_russian_swift,"[('sanctions', 0.03962409236170555), ('russia', 0.02879283041629184), ('russian', 0.02115349192029372), ('swift', 0.016648544538989903), ('oligarchs', 0.011093473005399031), ('from swift', 0.009327193635211253), ('sanctions on', 0.00918947296599528), ('putin', 0.00909497088126813), ('ruble', 0.008629591512307189), ('russian oligarchs', 0.008393424193276829)]"
14,1326,14_india_covid_in india_indian,"[('india', 0.039435883348885196), ('covid', 0.016634292246519047), ('in india', 0.016283647779108346), ('indian', 0.011059566704999297), ('cow', 0.010398154151575084), ('cases', 0.009379854879565127), ('in', 0.009114587558613937), ('indias', 0.008633654387803814), ('coronavirus', 0.008492923956670027), ('hindu', 0.008251270960455942)]"
15,1275,15_turkey_turkish_erdogan_greece,"[('turkey', 0.057415231808948516), ('turkish', 0.027241759764459833), ('erdogan', 0.02258654538792567), ('greece', 0.019810664423638887), ('greek', 0.012748274924301558), ('migrants', 0.009113971097668547), ('to', 0.008503464523359608), ('syria', 0.007637066432406481), ('in', 0.007291334123598117), ('turkeys', 0.0069664544678854756)]"
16,1208,16_masks_mask_face_face masks,"[('masks', 0.04953610306339203), ('mask', 0.02887213414235072), ('face', 0.021934784642472664), ('face masks', 0.018319178924563587), ('wear', 0.015297581900276783), ('to wear', 0.011279211505903254), ('wearing', 0.011090610071737422), ('masks to', 0.009954420928193866), ('to', 0.009105346347461959), ('face mask', 0.008740467156462907)]"
17,1204,17_coronavirus_cases_coronavirus cases_toll,"[('coronavirus', 0.041456653529741254), ('cases', 0.02087524245925316), ('coronavirus cases', 0.017043882512273536), ('toll', 0.011334261517639287), ('death', 0.010972044857966568), ('death toll', 0.010802078697224276), ('the', 0.010302901098137198), ('us', 0.010273767071935475), ('virus', 0.009389529105784144), ('who', 0.00929538916246162)]"
18,1169,18_trump_sanders_election_impeachment,"[('trump', 0.03354442983492873), ('sanders', 0.014727469802172278), ('election', 0.013421481771180323), ('impeachment', 0.012711138731473306), ('bernie', 0.0116795276178822), ('biden', 0.011326524728882863), ('bernie sanders', 0.010974684426608629), ('senate', 0.007987333902782126), ('the', 0.007950532880065914), ('joe', 0.007280566182687652)]"
19,1073,19_belarus_lukashenko_belarusian_in belarus,"[('belarus', 0.08408953435817568), ('lukashenko', 0.029739981269255956), ('belarusian', 0.02050948432185491), ('in belarus', 0.016741059305757297), ('border', 0.011594084994674975), ('sanctions', 0.009749482245351786), ('eu', 0.009352693368313063), ('opposition', 0.009269458739749317), ('leader', 0.009046038408706186), ('lithuania', 0.008907016243260254)]"
20,1073,20_saudi_arabia_saudi arabia_yemen,"[('saudi', 0.05808144129372887), ('arabia', 0.03077810550876998), ('saudi arabia', 0.03020684416094318), ('yemen', 0.02491661019492161), ('khashoggi', 0.016011874097815557), ('in yemen', 0.012333488280472373), ('crown prince', 0.010990194547106709), ('crown', 0.010867243074237051), ('prince', 0.010064687484953375), ('saudi crown', 0.008697453684158361)]"
21,1012,21_climate_climate change_change_emissions,"[('climate', 0.052897143906750585), ('climate change', 0.02354364354503828), ('change', 0.022702240523600654), ('emissions', 0.01590952114985077), ('global', 0.009736052636854921), ('fossil', 0.009323523152036349), ('the', 0.008562206202460043), ('warming', 0.008421278228273491), ('un', 0.008419363901958075), ('carbon', 0.008362306013967829)]"
22,963,22_economy_recession_dow_global,"[('economy', 0.01663514743027783), ('recession', 0.014290418084796263), ('dow', 0.011179427005665982), ('global', 0.011079372007793508), ('pandemic', 0.01048958708771481), ('economic', 0.010169196887937586), ('coronavirus', 0.009405108621358613), ('the', 0.00931902920392489), ('debt', 0.009154132062919451), ('imf', 0.008925877587257616)]"
23,960,23_hackers_cyber_cyberattack_cyberattacks,"[('hackers', 0.02563237632474101), ('cyber', 0.016993205313182817), ('cyberattack', 0.013550765216463138), ('cyberattacks', 0.011269456329188642), ('ransomware', 0.010937716382180432), ('russia', 0.01075333460811583), ('microsoft', 0.010459601947520488), ('russian', 0.010387018830079097), ('anonymous', 0.009679118011759384), ('hacking', 0.009604996082390842)]"
