Topic,Words,Frequency,Timestamp,comment_sentiment,name
0,"wuhan, china, coronavirus, virus, outbreak",735,January 2020,-0.1366,0_china_coronavirus_wuhan_virus
1,"israel, peace plan, plan, palestinian, peace",125,January 2020,-0.1604297101449275,1_israel_israeli_gaza_palestinian
2,"putin, russia, ukraine, russian, constitution",31,January 2020,-0.1928855769230769,2_ukraine_russia_putin_russian
3,"vaccine, coronavirus vaccine, scientific officer, can create coronavirus, create coronavirus vaccine",10,January 2020,0.0746754716981132,3_vaccine_covid_covid vaccine_vaccines
4,"police, paris, in, protest, man",51,January 2020,-0.6895875,4_police_black_shooting_in
5,"brexit, johnson, boris, boris johnson, uk",146,January 2020,0.2777098591549296,5_johnson_boris_boris johnson_brexit
6,"coronavirus, uk, virus in, confirmed in, cases",12,January 2020,-0.9801,6_covid_variant_omicron_uk
7,"space, spacex, nasa, earth, the",73,January 2020,0.5494825,7_space_nasa_earth_moon
8,"taliban, peace deal, afghanistan, government afloat, says islamic states",3,January 2020,-0.4914506493506494,8_taliban_afghanistan_afghan_kabul
9,"china, chinese, trade, us, xi",61,January 2020,0.1136387096774193,9_china_chinese_us_xi
10,"hong, kong, hong kong, police, in hong",59,January 2020,-0.1819,10_hong_kong_hong kong_security
11,"north, korea, kim, north korea, korean",51,January 2020,-0.0843363636363636,11_korea_north_north korea_kim
12,"taiwan, tsai, tsai ingwen, ingwen, china",48,January 2020,-0.0162684782608695,12_taiwan_china_chinese_us
14,"india, in india, muslims, case, can be treated",34,January 2020,-0.1396416666666666,14_india_covid_in india_indian
15,"turkey, turkish, libya, erdogan, greece",49,January 2020,0.0146522727272727,15_turkey_turkish_erdogan_greece
16,"masks, facial recognition, facial, recognition, mask",46,January 2020,0.10495,16_masks_mask_face_face masks
17,"coronavirus, confirmed, case, cases, of coronavirus",96,January 2020,-0.1231944656488549,17_coronavirus_cases_coronavirus cases_toll
18,"impeachment, trump, impeachment trial, trump impeachment, trial",131,January 2020,0.1665305555555555,18_trump_sanders_election_impeachment
19,"belarus, lock arms, russia turns off, lithuania lock, lithuania lock arms",4,January 2020,0.2580909090909091,19_belarus_lukashenko_belarusian_in belarus
20,"saudi, arabia, saudi arabia, yemen, khashoggi",48,January 2020,-0.2069019230769231,20_saudi_arabia_saudi arabia_yemen
21,"climate, climate change, change, emissions, global",80,January 2020,0.1832180124223602,21_climate_climate change_change_emissions
22,"dow, global, imf, economy, points",37,January 2020,0.3284144927536231,22_economy_recession_dow_global
23,"hackers, hacked, cyber, microsoft, cyberattack",64,January 2020,-0.0746635135135135,23_hackers_cyber_cyberattack_cyberattacks
24,"facebook, ads, zuckerberg, political ads, whatsapp",23,January 2020,0.1005241379310344,24_facebook_whatsapp_instagram_twitter
25,"bolsonaro, brazil, culture, goebbels, culture minister",22,January 2020,0.243326923076923,25_bolsonaro_brazil_jair_jair bolsonaro
26,"hungary, poland, polish, gay, the",8,January 2020,-0.106875,26_poland_hungary_polish_eu
27,"pope, francis, church, pope francis, catholic",41,January 2020,-0.0565450980392156,27_pope_vatican_francis_pope francis
28,"sea, china sea, south china, south china sea, warship",21,January 2020,0.1675510204081632,28_sea_china sea_south china_south china sea
29,"plane, iran, crash, boeing, plane crash",400,January 2020,-0.5226313099041533,29_plane_crash_iran_boeing
30,"earthquake, zealand, new zealand, magnitude, magnitude earthquake",37,January 2020,-0.05048,30_zealand_new zealand_new_earthquake
31,"nazi, germany, german, auschwitz, holocaust",48,January 2020,-0.2584120689655172,31_nazi_germany_german_farright
32,"trump, trump says hit, trumps wilbur ross, hit overdue, good ending for",4,January 2020,0.0392241071428571,32_trump_coronavirus_stimulus_donald
33,"osbourne reveals, osbourne reveals he, ozzy osbourne reveals, ozzy osbourne, ozzy",4,January 2020,-0.3413724137931034,33_navalny_alexei_alexei navalny_critic
34,"president zelenskiy, zelenskiy, zelensky, ukrainian president, president",2,January 2020,0.4390909090909091,34_zelensky_zelenskyy_ukraine_volodymyr
35,"xinjiang, china, uighur, camps, human rights",16,January 2020,-0.0416791666666666,35_xinjiang_genocide_china_in xinjiang
36,"myanmar, rohingya, rohingya muslims, of genocide, in myanmar",6,January 2020,0.238747619047619,36_myanmar_coup_in myanmar_junta
37,"fukushima, radioactive, nuclear, radioactive water, water",13,January 2020,-0.003097619047619,37_nuclear_plant_chernobyl_nuclear plant
38,"tokyo, olympics, interprovince shuttle, organizers shoot down, kneeling no hand",5,January 2020,0.5389470588235294,38_olympics_tokyo_tokyo olympics_olympic
39,"gas, oil, pipeline, longest underwater gas, pipeline despite pledge",5,January 2020,0.9918,39_oil_gas_pipeline_nord
40,"morrison, scott, scott morrison, australia, minister scott",52,January 2020,-0.1237307692307692,40_australia_morrison_scott_scott morrison
41,"india, border, worry about china, needn worry, india needn",7,January 2020,-0.3764,41_india_border_china_indian
42,"mexico, mexican, guatemala, caravan, cartel",46,January 2020,0.0345066666666666,42_mexico_mexican_cartel_in mexico
43,"pakistan, imran, imran khan, khan, pakistani",25,January 2020,-0.2687384615384615,43_pakistan_imran_khan_imran khan
44,"prince, prince charles, charles, prince andrew, andrew",28,January 2020,0.3353583333333333,44_prince_queen_ghislaine_prince andrew
45,"japan, japan confirms, case of new, case of, japanese",17,January 2020,0.047730303030303,45_japan_in japan_japanese_tokyo
46,"ancient, neanderthal, discovered, fossil prove scorpion, first landdwelling",15,January 2020,0.5370733333333334,46_ancient_found_discovered_found in
47,"iran, trump, iranian, with iran, us",179,January 2020,-0.5267716455696203,47_iran_trump_iranian_coronavirus
48,"amazon, rainforest, the amazon, deforestation, carbon",18,January 2020,0.2123,48_amazon_deforestation_rainforest_the amazon
49,"hezbollah, lebanon, hezbollah chief, hezbollah leader, beirut",8,January 2020,-0.53694,49_lebanon_beirut_hezbollah_explosion
50,"venezuela, maduro, venezuelan, in venezuela, guaido",27,January 2020,-0.0073176470588235,50_venezuela_maduro_venezuelan_oil
51,"bushfires, australia, fires, australian, bushfire",275,January 2020,-0.2644637614678899,51_bushfires_australia_wildfires_fires
52,"netanyahu, netanyahu says, israel, immunity, benjamin",30,January 2020,-0.3525234567901235,52_netanyahu_israel_benjamin_benjamin netanyahu
53,"to join nuclear, join nuclear arms, arms talks with, nuclear arms talks, join nuclear",1,January 2020,-0.5467333333333334,53_china_russia_ukraine_ukraine china
54,"record, warmest, ice, on record, hottest",25,January 2020,0.3334347826086956,54_ice_record_on record_melting
